"","RegionCentroidLatitude","RegionCentroidLongitude","ID","Binomial","State","MaxStatus","count"
"155",-36.31880487,144.9278026,5524,"Swainsona_plagiotropis","Victoria","Vulnerable",38
"156",-36.31880487,144.9278026,5525,"Swainsona_plagiotropis","Victoria","Vulnerable",38
"157",-36.31880487,144.9278026,5526,"Swainsona_plagiotropis","Victoria","Vulnerable",38
"158",-36.31880487,144.9278026,5527,"Swainsona_plagiotropis","Victoria","Vulnerable",38
"159",-36.31880487,144.9278026,5528,"Swainsona_plagiotropis","Victoria","Vulnerable",38
"160",-36.31880487,144.9278026,5529,"Swainsona_plagiotropis","Victoria","Vulnerable",38
"161",-36.31880487,144.9278026,5530,"Swainsona_plagiotropis","Victoria","Vulnerable",38
"162",-36.31880487,144.9278026,5531,"Swainsona_plagiotropis","Victoria","Vulnerable",38
"163",-36.31880487,144.9278026,5532,"Swainsona_plagiotropis","Victoria","Vulnerable",38
"164",-36.26694844,146.8284097,5506,"Swainsona_plagiotropis","Victoria","Vulnerable",2
"165",-36.26694844,146.8284097,5508,"Swainsona_plagiotropis","Victoria","Vulnerable",2
"166",-36.13965496,149.1056612,5009,"Diuris_aequalis","New South Wales","Endangered",3
"167",-36.13965496,149.1056612,5281,"Pomaderris_pallida","New South Wales","Vulnerable",3
"168",-36.13965496,149.1056612,5303,"Prasophyllum_petilum","New South Wales","Endangered",3
"169",-36.0760009,148.4682667,5010,"Diuris_ochroma","New South Wales","Vulnerable",2
"170",-36.0760009,148.4682667,5011,"Diuris_ochroma","New South Wales","Vulnerable",2
"171",-35.97157537,139.9875087,4721,"Acacia_enterocarpa","South Australia","Endangered",28
"172",-35.97157537,139.9875087,4722,"Acacia_enterocarpa","South Australia","Endangered",28
"173",-35.97157537,139.9875087,4727,"Acacia_enterocarpa","South Australia","Endangered",28
"174",-35.97157537,139.9875087,4780,"Caladenia_colorata","South Australia","Endangered",28
"175",-35.97157537,139.9875087,4783,"Caladenia_colorata","South Australia","Endangered",28
"176",-35.97157537,139.9875087,4790,"Caladenia_colorata","South Australia","Endangered",28
"177",-35.97157537,139.9875087,4792,"Caladenia_colorata","South Australia","Endangered",28
"178",-35.97157537,139.9875087,5321,"Prostanthera_eurybioides","South Australia","Endangered",28
"179",-35.97157537,139.9875087,5322,"Prostanthera_eurybioides","South Australia","Endangered",28
"180",-35.97157537,139.9875087,5323,"Prostanthera_eurybioides","South Australia","Endangered",28
"181",-35.97157537,139.9875087,5324,"Prostanthera_eurybioides","South Australia","Endangered",28
"182",-35.97157537,139.9875087,5325,"Prostanthera_eurybioides","South Australia","Endangered",28
"183",-35.97157537,139.9875087,5326,"Prostanthera_eurybioides","South Australia","Endangered",28
"184",-35.97157537,139.9875087,5327,"Prostanthera_eurybioides","South Australia","Endangered",28
"185",-35.97157537,139.9875087,5328,"Prostanthera_eurybioides","South Australia","Endangered",28
"186",-35.97157537,139.9875087,5329,"Prostanthera_eurybioides","South Australia","Endangered",28
"187",-35.97157537,139.9875087,5460,"Senecio_macrocarpus","South Australia","Vulnerable",28
"188",-35.97157537,139.9875087,5461,"Senecio_macrocarpus","South Australia","Vulnerable",28
"189",-35.97157537,139.9875087,5462,"Senecio_macrocarpus","South Australia","Vulnerable",28
"190",-35.97157537,139.9875087,5463,"Senecio_macrocarpus","South Australia","Vulnerable",28
"191",-35.97157537,139.9875087,5464,"Senecio_macrocarpus","South Australia","Vulnerable",28
"192",-35.97157537,139.9875087,5465,"Senecio_macrocarpus","South Australia","Vulnerable",28
"193",-35.97157537,139.9875087,5536,"Thelymitra_epipactoides","South Australia","Endangered",28
"194",-35.97157537,139.9875087,5538,"Thelymitra_epipactoides","South Australia","Endangered",28
"195",-35.97157537,139.9875087,5539,"Thelymitra_epipactoides","South Australia","Endangered",28
"196",-35.97157537,139.9875087,5541,"Thelymitra_epipactoides","South Australia","Endangered",28
"197",-35.97157537,139.9875087,5546,"Thelymitra_epipactoides","South Australia","Endangered",28
"198",-35.97157537,139.9875087,5549,"Thelymitra_epipactoides","South Australia","Endangered",28
"199",-35.95503628,150.2451083,5600,"Zieria_tuberculata","New South Wales","Vulnerable",2
"200",-35.95503628,150.2451083,5602,"Zieria_tuberculata","New South Wales","Vulnerable",2
"201",-35.83762242,144.789927,5457,"Senecio_behrianus","Victoria","Endangered",3
"202",-35.83762242,144.789927,5493,"Swainsona_murrayana","Victoria","Vulnerable",3
"203",-35.83762242,144.789927,5502,"Swainsona_murrayana","Victoria","Vulnerable",3
"204",-35.77465865,139.2177927,4784,"Caladenia_colorata","South Australia","Endangered",20
"205",-35.77465865,139.2177927,4785,"Caladenia_colorata","South Australia","Endangered",20
"206",-35.77465865,139.2177927,4786,"Caladenia_colorata","South Australia","Endangered",20
"207",-35.77465865,139.2177927,4787,"Caladenia_colorata","South Australia","Endangered",20
"208",-35.77465865,139.2177927,4788,"Caladenia_colorata","South Australia","Endangered",20
"209",-35.77465865,139.2177927,4789,"Caladenia_colorata","South Australia","Endangered",20
"210",-35.77465865,139.2177927,4791,"Caladenia_colorata","South Australia","Endangered",20
"211",-35.77465865,139.2177927,4796,"Caladenia_colorata","South Australia","Endangered",20
"212",-35.77465865,139.2177927,4797,"Caladenia_colorata","South Australia","Endangered",20
"213",-35.77465865,139.2177927,4798,"Caladenia_colorata","South Australia","Endangered",20
"214",-35.77465865,139.2177927,4800,"Caladenia_colorata","South Australia","Endangered",20
"215",-35.77465865,139.2177927,5197,"Olearia_pannosa_subsp_pannosa","South Australia","Vulnerable",20
"216",-35.77465865,139.2177927,5374,"Pterostylis_arenicola","South Australia","Vulnerable",20
"217",-35.77465865,139.2177927,5537,"Thelymitra_epipactoides","South Australia","Endangered",20
"218",-35.77465865,139.2177927,5542,"Thelymitra_epipactoides","South Australia","Endangered",20
"219",-35.77465865,139.2177927,5543,"Thelymitra_epipactoides","South Australia","Endangered",20
"220",-35.77465865,139.2177927,5544,"Thelymitra_epipactoides","South Australia","Endangered",20
"221",-35.77465865,139.2177927,5545,"Thelymitra_epipactoides","South Australia","Endangered",20
"222",-35.77465865,139.2177927,5548,"Thelymitra_epipactoides","South Australia","Endangered",20
"223",-35.77465865,139.2177927,5551,"Thelymitra_epipactoides","South Australia","Endangered",20
"224",-35.64006379,140.609955,4723,"Acacia_enterocarpa","South Australia","Endangered",14
"225",-35.64006379,140.609955,4724,"Acacia_enterocarpa","South Australia","Endangered",14
"226",-35.64006379,140.609955,4725,"Acacia_enterocarpa","South Australia","Endangered",14
"227",-35.64006379,140.609955,4726,"Acacia_enterocarpa","South Australia","Endangered",14
"228",-35.64006379,140.609955,4850,"Cassinia_tegulata","South Australia","Critically Endangered",14
"229",-35.64006379,140.609955,4851,"Cassinia_tegulata","South Australia","Critically Endangered",14
"230",-35.64006379,140.609955,4852,"Cassinia_tegulata","South Australia","Critically Endangered",14
"231",-35.64006379,140.609955,5261,"Phebalium_lowanense","South Australia","Vulnerable",14
"232",-35.64006379,140.609955,5262,"Phebalium_lowanense","South Australia","Vulnerable",14
"233",-35.64006379,140.609955,5263,"Phebalium_lowanense","South Australia","Vulnerable",14
"234",-35.64006379,140.609955,5264,"Phebalium_lowanense","South Australia","Vulnerable",14
"235",-35.64006379,140.609955,5265,"Phebalium_lowanense","South Australia","Vulnerable",14
"236",-35.64006379,140.609955,5266,"Phebalium_lowanense","South Australia","Vulnerable",14
"237",-35.64006379,140.609955,5267,"Phebalium_lowanense","South Australia","Vulnerable",14
"238",-35.60727899,141.5734114,5488,"Spyridium_furculentum","Victoria","Endangered",3
"239",-35.60727899,141.5734114,5489,"Spyridium_furculentum","Victoria","Endangered",3
"240",-35.60727899,141.5734114,5490,"Spyridium_furculentum","Victoria","Endangered",3
"241",-35.43876199,148.8460307,4908,"Corunastylis_ectopa","Australian Capital Territory","Critically Endangered",1
"242",-35.43401712,149.060159,4745,"Caladenia_actensis","Australian Capital Territory","Critically Endangered",10
"243",-35.43401712,149.060159,5138,"Lepidium_ginninderrense","Australian Capital Territory","Critically Endangered",10
"244",-35.43401712,149.060159,5139,"Lepidium_ginninderrense","Australian Capital Territory","Critically Endangered",10
"245",-35.43401712,149.060159,5140,"Lepidium_ginninderrense","Australian Capital Territory","Critically Endangered",10
"246",-35.43401712,149.060159,5141,"Lepidium_ginninderrense","Australian Capital Territory","Critically Endangered",10
"247",-35.43401712,149.060159,5156,"Muehlenbeckia_tuggeranong","Australian Capital Territory","Endangered",10
"248",-35.43401712,149.060159,5298,"Prasophyllum_petilum","Australian Capital Territory","Endangered",10
"249",-35.43401712,149.060159,5533,"Swainsona_recta","Australian Capital Territory","Endangered",10
"250",-35.43401712,149.060159,5534,"Swainsona_recta","Australian Capital Territory","Endangered",10
"251",-35.43401712,149.060159,5535,"Swainsona_recta","Australian Capital Territory","Endangered",10
"252",-35.33131139,138.668376,4758,"Caladenia_argocalla","South Australia","Endangered",115
"253",-35.33131139,138.668376,4767,"Caladenia_argocalla","South Australia","Endangered",115
"254",-35.33131139,138.668376,4768,"Caladenia_argocalla","South Australia","Endangered",115
"255",-35.33131139,138.668376,4781,"Caladenia_colorata","South Australia","Endangered",115
"256",-35.33131139,138.668376,4782,"Caladenia_colorata","South Australia","Endangered",115
"257",-35.33131139,138.668376,4793,"Caladenia_colorata","South Australia","Endangered",115
"258",-35.33131139,138.668376,4795,"Caladenia_colorata","South Australia","Endangered",115
"259",-35.33131139,138.668376,4799,"Caladenia_colorata","South Australia","Endangered",115
"260",-35.33131139,138.668376,4801,"Caladenia_colorata","South Australia","Endangered",115
"261",-35.33131139,138.668376,4802,"Caladenia_colorata","South Australia","Endangered",115
"262",-35.33131139,138.668376,4803,"Caladenia_colorata","South Australia","Endangered",115
"263",-35.33131139,138.668376,4804,"Caladenia_colorata","South Australia","Endangered",115
"264",-35.33131139,138.668376,4805,"Caladenia_colorata","South Australia","Endangered",115
"265",-35.33131139,138.668376,4806,"Caladenia_colorata","South Australia","Endangered",115
"266",-35.33131139,138.668376,4854,"Acacia_menzelii","South Australia","Vulnerable",115
"267",-35.33131139,138.668376,4855,"Acacia_menzelii","South Australia","Vulnerable",115
"268",-35.33131139,138.668376,4856,"Acacia_menzelii","South Australia","Vulnerable",115
"269",-35.33131139,138.668376,4857,"Acacia_menzelii","South Australia","Vulnerable",115
