"","RegionCentroidLatitude","RegionCentroidLongitude","TaxonID","Binomial","State","MaxStatus"
"177",-31.1082037,152.3703361,"p_83970","Zieria_lasiocaulis","New South Wales","Endangered"
"178",-30.72067787,144.0403293,"p_30544","Eriocaulon_carsonii","New South Wales","Endangered"
"179",-30.62260538,150.6901946,"p_3137","Asterolasia_beckersii","New South Wales","Critically Endangered"
"180",-30.56704355,138.798038,"p_1753","Acacia_menzelii","South Australia","Vulnerable"
"181",-30.56704355,138.798038,"p_19789","Codonocarpus_pyramidalis","South Australia","Vulnerable"
"182",-30.56704355,138.798038,"p_392","Acacia_araneosa","South Australia","Vulnerable"
"183",-30.49557328,151.0729317,"p_2131","Acacia_pubifolia","New South Wales","Vulnerable"
"184",-30.42953667,152.9262964,"p_56920","Neoastelia_spectabilis","New South Wales","Vulnerable"
"185",-30.03902622,151.9043727,"p_11588","Eucalyptus_camphora_subsp_relicta","New South Wales","Near Threatened"
"186",-29.90694164,115.3829825,"p_38710","Grevillea_calliantha","Western Australia","Critically Endangered"
"187",-29.90694164,115.3829825,"p_749","Acacia_cochlocarpa_subsp_cochlocarpa","Western Australia","Endangered"
"188",-29.82068434,153.4153938,"p_61041","Phaius_australis","New South Wales","Endangered"
"189",-29.52739459,141.8754965,"p_39012","Grevillea_kennedyana","New South Wales","Endangered"
"190",-29.52739459,141.8754965,"p_83638","Xerothamnella_parvifolia","New South Wales","Vulnerable"
"191",-29.47466597,151.3906724,"p_2131","Acacia_pubifolia","New South Wales","Vulnerable"
"192",-29.47466597,151.3906724,"p_8442","Astrotricha_roddii","New South Wales","Endangered"
"193",-29.24588835,153.2593919,"p_35619","Fontainea_oraria","New South Wales","Critically Endangered"
"194",-29.24588835,153.2593919,"p_65607","Prostanthera_palustris","New South Wales","Critically Endangered"
"195",-29.24111411,151.6099142,"p_2131","Acacia_pubifolia","New South Wales","Vulnerable"
"196",-29.24111411,151.6099142,"p_21890","Phebalium_glandulosum_subsp_eglandulosum","New South Wales","Vulnerable"
"197",-29.154441,151.2005595,"p_8442","Astrotricha_roddii","New South Wales","Endangered"
"198",-28.59635014,153.1883811,"p_45206","Isoglossa_eranthemoides","New South Wales","Endangered"
"199",-28.59635014,153.1883811,"p_5620","Callitris_baileyi","New South Wales","Near Threatened"
"200",-28.41963259,153.6112396,"p_9726","Diuris_byronensis","New South Wales","Critically Endangered"
"201",-27.75995263,152.6081037,"p_38343","Gossia_gonoclada","Queensland","Endangered"
"202",-27.20516781,153.3374921,"p_38930","Grevillea_hodgei","Queensland","Critically Endangered"
"203",-27.1534329,152.8243086,"p_38343","Gossia_gonoclada","Queensland","Endangered"
"204",-27.1534329,152.8243086,"p_69275","Rhodamnia_rubescens","Queensland","Critically Endangered"
"205",-26.95205403,139.7664607,"p_2049","Acacia_pickardii","South Australia","Vulnerable"
"206",-24.59532144,136.5659338,"p_2039","Acacia_peuce","Northern Territory","Vulnerable"
